"day","name","amount","recurring","type","month","year"
"12","MASS GEN BRIGHAM EPIC SOMERVILLE /MA US CARD PURCHASE","45","none","expense","1","2026"
"13","SP AFF L SAN FRANCISC/CA US CARD PURCHASE","147.38","none","expense","1","2026"
"17","TARGET 00014969 WESTBOROUGH /MA US CARD PURCHASE","175.31","none","income","1","2026"
"17","OKEMO F&B LUDLOW /VT US CARD PURCHASE","137.75","none","expense","1","2026"
"17","OKEMO F&B LUDLOW /VT US CARD PURCHASE","15.82","none","expense","1","2026"
"17","OKEMO F&B LUDLOW /VT US CARD PURCHASE","15.64","none","expense","1","2026"
"17","HONEYGROW PHILADELPHIA /PA US CARD PURCHASE","37.19","none","expense","1","2026"
"17","TARGET PLUS BROOKLYN PARK /MN US CARD PURCHASE","73.93","none","expense","1","2026"
"17","TARGET.COM BROOKLYN PARK /MN US CARD PURCHASE","49.73","none","expense","1","2026"
"17","AMAZON.COM*MR9N SEATTLE /WA US CARD PURCHASE","55.2","none","expense","1","2026"
"17","WU * ENGLEWOOD /CO US CARD PURCHASE","98.31","none","expense","1","2026"
"17","AMAZON.COM*QE7J SEATTLE /WA US CARD PURCHASE","70.98","none","expense","1","2026"
"17","AMAZON.COM*FE4I SEATTLE /WA US CARD PURCHASE","24.43","none","expense","1","2026"
"17","AMAZON.COM*8T8W SEATTLE /WA US CARD PURCHASE","10.61","none","expense","1","2026"
"17","TARGET T-1496 Westborough /MA US CARD PURCHASE","133.51","none","expense","1","2026"
"17","TARGET PLUS BROOKLYN PARK /MN US CARD PURCHASE","41.93","none","expense","1","2026"
"17","APPLE COM CUPERTINO /CA US CARD PURCHASE","9.99","none","expense","1","2026"
"17","APPLE.COM/BILL CUPERTINO /CA US CARD PURCHASE","18.49","none","expense","1","2026"
"17","MASS GEN BRIGHAM EPIC SOMERVILLE /MA US CARD PURCHASE","30","none","expense","1","2026"
"17","SP AFF S SAN FRANCISC/CA US CARD PURCHASE","30.08","none","expense","1","2026"
"17","NEW ENGLAND ENT NEWTON /MA US CARD PURCHASE","50.27","none","expense","1","2026"
"18","BACKCOUNTRY.COM COTTONWOOD HE /UT US CARD PURCHASE","118.51","none","income","1","2026"
"18","Prime Video *F139T93F3 SEATTLE /WA US CARD PURCHASE","7.99","none","expense","1","2026"
"18","Dean Park Grill & Pizz SHREWSBURY /MA US CARD PURCHASE","27.86","none","expense","1","2026"
"18","GULF MART 859 NATICK /MA US CARD PURCHASE","54.14","none","expense","1","2026"
"18","LOFT 1917 NATICK /MA US CARD PURCHASE","94.69","none","expense","1","2026"
"18","WELLS FARGO AUTO FEE & PMTS021726","467.73","none","expense","1","2026"
"19","VENMO CASHOUT 260218 ***********87","41","none","income","1","2026"
"19","CTLP*BERKSHIRE NATURAL NORTHAMPTON /MA US CARD","2.25","none","expense","1","2026"
"19","SQ *THE LITTLE COCOA B Boston /MA US CARD PURCHASE","43.3","none","expense","1","2026"
"19","GOOGLE *Google Mountain Vie/CA US CARD PURCHASE","2.11","none","expense","1","2026"
"19","Crate and Barrel Natick /MA US CARD PURCHASE","145.35","none","expense","1","2026"
"19","TRADER JOE S #5 SHREWSBURY /MA US CARD PURCHASE","135.63","none","expense","1","2026"
"19","CVS/PHARMACY #0 SHREWSBURY /MA US CARD PURCHASE","1.4","none","expense","1","2026"
"19","CVS/PHARMACY #0 SHREWSBURY /MA US CARD PURCHASE","29.92","none","expense","1","2026"
"19","AMAZON.COM*SV3J SEATTLE /WA US CARD PURCHASE","39.99","none","expense","1","2026"
"19","TARGET PLUS BROOKLYN PARK /MN US CARD PURCHASE","71.17","none","expense","1","2026"
"19","VZWRLSS*APOCC VISN LAKE MARY /FL US CARD PURCHASE","140.81","none","expense","1","2026"
"19","TD BANK PAYMENT 260218","29","none","expense","1","2026"
"20","AMAZON.COM SEATTLE /WA US CARD PURCHASE REFUND","22.04","none","income","1","2026"
"20","CAPELLI AVANTI WORCESTER /MA US CARD PURCHASE","70","none","expense","1","2026"
"20","PRICE CHOPPER # SHREWSBURY /MA US CARD PURCHASE","68.68","none","expense","1","2026"
"20","TARGET T-1496 Westborough /MA US CARD PURCHASE","51.6","none","expense","1","2026"
"20","WHOLEFDS SHB #1 SHREWSBURY /MA PURCHASE W/ CASHBACK","65.96","none","expense","1","2026"
"20","Gymnastics Learning 1508792155 /MA US CARD PURCHASE","165","none","expense","1","2026"
"23","TARGET PLUS BROOKLYN PARK /MN US CARD PURCHASE REFUND","71.17","none","income","1","2026"
"23","TARGET 00014969 WESTBOROUGH /MA US CARD PURCHASE","49.73","none","income","1","2026"
"23","AMAZON.COM SEATTLE /WA US CARD PURCHASE REFUND","39.99","none","income","1","2026"
"23","UA INFLT HOUSTON /TX US CARD PURCHASE","8","none","expense","1","2026"
"23","VENMO *RENATA PAULA 8558124430 /NY US CARD PURCHASE","185","none","expense","1","2026"
"23","VENMO *ASHLEY PHAN 8558124430 /NY US CARD PURCHASE","15","none","expense","1","2026"
"23","CAPELLI AVANTI WORCESTER /MA US CARD PURCHASE","45","none","expense","1","2026"
"23","BARCLAYCARD US CREDITCARD","14.68","none","expense","1","2026"
"23","HOME DEPOT AUTO PYMT 260222","29","none","expense","1","2026"
"24","AMAZON.COM*B94M SEATTLE /WA US CARD PURCHASE","7.15","none","expense","1","2026"
"25","SHOPNIMBLY.COM 8008061157 /IL US CARD PURCHASE REFUND","49.9","none","income","1","2026"
"25","TRADER JOE S #5 SHREWSBURY /MA US CARD PURCHASE","74.49","none","expense","1","2026"
"26","Zelle Transfer from GREGORY POPE 877-726-5640-605700I0FAO8","165","none","income","1","2026"
"26","SHOPNIMBLY.COM 8008061157 /IL US CARD PURCHASE REFUND","49.9","none","income","1","2026"
"26","BARCLAYCARD US CREDITCARD","390.64","none","expense","1","2026"
